Soviet Union (URS),55,31,46,3200
East Germany (GDR),37,35,30,17352
United States of America (USA),36,31,27,20703
Republic of Korea (KOR),12,10,11,4466
West Germany (FRG),11,14,15,17352
Hungary (HUN),11,6,6,2696
Bulgaria (BUL),10,12,13,2561
Romania (ROU),7,11,6,1753
France (FRA),6,4,6,17360
Italy (ITA),6,4,4,15170
People's Republic of China (CHN),5,11,12,281
Great Britain (GBR),5,10,9,14951
Kenya (KEN),5,2,2,382
Japan (JPN),4,3,7,24593
Australia (AUS),3,6,5,14425
Yugoslavia (YUG),3,4,5,0
Czechoslovakia (TCH),3,3,2,0
New Zealand (NZL),3,2,8,13199
Canada (CAN),3,2,5,18523
Poland (POL),2,5,9,1820
Norway (NOR),2,3,0,23769
Netherlands (NED),2,2,5,16437
Denmark (DEN),2,1,1,22074
Brazil (BRA),1,2,3,2287
Finland (FIN),1,1,2,21668
Spain (ESP),1,1,2,9434
Turkey (TUR),1,1,0,1738
Morocco (MAR),1,0,2,924
Austria (AUT),1,0,0,17398
Portugal (POR),1,0,0,5549
Suriname (SUR),1,0,0,3305
Sweden (SWE),0,4,7,22969
Switzerland (SUI),0,2,2,29302
Jamaica (JAM),0,2,0,1625
Argentina (ARG),0,1,1,3978
Chile (CHI),0,1,0,1935
Costa Rica (CRC),0,1,0,2079
Indonesia (INA),0,1,0,499
Islamic Republic of Iran (IRI),0,1,0,2245
Netherlands Antilles (AHO),0,1,0,0
Peru (PER),0,1,0,595
Senegal (SEN),0,1,0,731
"Virgin Islands, US (ISV)",0,1,0,11527
Belgium (BEL),0,0,2,16192
Mexico (MEX),0,0,2,2261
Colombia (COL),0,0,1,1229
Djibouti (DJI),0,0,1,790
Greece (GRE),0,0,1,7245
Mongolia (MGL),0,0,1,1528
Pakistan (PAK),0,0,1,365
Philippines (PHI),0,0,1,647
Thailand (THA),0,0,1,1114
