Russian Federation (RUS),45,38,29,3095
United States of America (USA),37,34,37,24411
Germany (GER),33,21,28,25605
People's Republic of China (CHN),16,22,16,363
Cuba (CUB),14,6,11,2059
Spain (ESP),13,7,2,15680
Republic of Korea (KOR),12,5,12,7555
Hungary (HUN),11,12,7,3666
France (FRA),8,5,16,23344
Australia (AUS),7,9,11,18781
Canada (CAN),7,4,7,20320
Italy (ITA),6,5,8,22395
Great Britain (GBR),5,3,12,18960
Romania (ROU),4,6,8,1101
Czechoslovakia (TCH),4,2,1,3208
Democratic People's Republic of Korea (PRK),4,0,5,0
Japan (JPN),3,8,11,31014
Bulgaria (BUL),3,7,6,1214
Poland (POL),3,6,10,2406
Netherlands (NED),2,6,7,22142
Kenya (KEN),2,4,2,328
Norway (NOR),2,4,1,29932
Turkey (TUR),2,2,2,2840
Indonesia (INA),2,2,1,730
Brazil (BRA),2,1,0,2527
Greece (GRE),2,0,0,10687
Sweden (SWE),1,7,4,30806
New Zealand (NZL),1,4,5,11537
Finland (FIN),1,2,2,21851
Denmark (DEN),1,1,4,29044
Morocco (MAR),1,1,1,1098
Ireland (IRL),1,1,0,15236
Ethiopia (ETH),1,0,2,273
Algeria (ALG),1,0,1,1807
Estonia (EST),1,0,1,0
Lithuania (LTU),1,0,1,2314
Switzerland (SUI),1,0,0,36505
Jamaica (JAM),0,3,1,1459
Nigeria (NGR),0,3,1,319
Latvia (LAT),0,2,1,1854
Austria (AUT),0,2,0,24625
Namibia (NAM),0,2,0,1876
South Africa (RSA),0,2,0,3557
Belgium (BEL),0,1,2,23088
Croatia (CRO),0,1,2,2300
Yugoslavia (YUG),0,1,2,0
Islamic Republic of Iran (IRI),0,1,2,1000
Israel (ISR),0,1,1,12838
Chinese Taipei (TPE),0,1,0,0
Mexico (MEX),0,1,0,4154
Peru (PER),0,1,0,1600
Mongolia (MGL),0,0,2,585
Slovenia (SLO),0,0,2,6272
Argentina (ARG),0,0,1,6821
Bahamas (BAH),0,0,1,11698
Colombia (COL),0,0,1,1429
Ghana (GHA),0,0,1,410
Malaysia (MAS),0,0,1,3080
Pakistan (PAK),0,0,1,412
Philippines (PHI),0,0,1,819
Puerto Rico (PUR),0,0,1,9659
Qatar (QAT),0,0,1,15662
Suriname (SUR),0,0,1,966
Thailand (THA),0,0,1,1914
